车间,工序编号,工序开始,工序结束,工序持续时间(s)
A,A1,01:42:05,02:00:05,1080
A,A2,21:00:45,26:00:45,18000
A,A3,30:25:40,35:25:40,18000
B,B1,00:05:10,01:17:10,4320
B,B2,03:57:56,05:27:56,5400
B,B3,05:27:56,05:40:17,741
B,B4,26:41:10,30:17:10,12960
C,C1,00:03:50,00:47:02,2592
C,C2,00:47:02,01:11:44,1482
C,C3-1,01:11:44,01:33:20,1296
C,C4-1,01:33:20,05:33:20,14400
C,C5-1,10:02:00,14:02:00,14400
C,C3-2,14:02:00,14:23:36,1296
C,C4-2,17:32:00,20:52:00,12000
C,C5-2,22:32:00,26:32:00,14400
C,C3-3,26:32:00,26:53:36,1296
C,C4-3,29:50:20,33:10:20,12000
C,C5-3,35:34:25,39:34:25,14400
D,D1,02:02:42,02:38:42,2160
D,D2,02:40:55,03:28:55,2880
D,D3,03:28:55,03:44:21,926
D,D4,04:57:40,17:27:40,45000
D,D5,17:27:40,22:27:40,18000
D,D6,33:14:40,40:14:40,25200
E,E1,00:54:07,01:54:07,3600
E,E2,02:11:45,02:32:20,1235
E,E3,02:47:17,04:47:17,7200
