序号,设备编号,设备类型,车间,工序编号,分配工程量,起始时间,结束时间,持续工作时间(s),运输起点,运输时间(s),等待时间(s)
1,工业清洗机1-1,工业清洗机,C,C1,180.000,00:03:50,00:47:02,2592,班组1,230,0
2,工业清洗机1-3,工业清洗机,C,C1,180.000,00:03:50,00:47:02,2592,班组1,230,0
3,工业清洗机1-4,工业清洗机,C,C1,180.000,00:03:50,00:47:02,2592,班组1,230,0
4,工业清洗机1-5,工业清洗机,C,C1,180.000,00:03:50,00:47:02,2592,班组1,230,0
5,自动化输送臂1-1,自动化输送臂,C,C1,180.000,00:03:50,00:47:02,2592,班组1,230,0
6,自动化输送臂1-2,自动化输送臂,C,C1,180.000,00:03:50,00:47:02,2592,班组1,230,0
7,自动化输送臂1-3,自动化输送臂,C,C1,180.000,00:03:50,00:47:02,2592,班组1,230,0
8,自动化输送臂1-4,自动化输送臂,C,C1,180.000,00:03:50,00:47:02,2592,班组1,230,0
9,工业清洗机1-2,工业清洗机,B,B1,120.000,00:05:10,01:17:10,4320,班组1,310,0
10,精密灌装机1-1,精密灌装机,C,C2,144.000,00:47:02,01:11:44,1482,班组1,230,2592
11,精密灌装机1-2,精密灌装机,C,C2,144.000,00:47:02,01:11:44,1482,班组1,230,2592
12,精密灌装机1-3,精密灌装机,C,C2,144.000,00:47:02,01:11:44,1482,班组1,230,2592
13,精密灌装机1-4,精密灌装机,C,C2,144.000,00:47:02,01:11:44,1482,班组1,230,2592
14,精密灌装机1-5,精密灌装机,C,C2,144.000,00:47:02,01:11:44,1482,班组1,230,2592
15,工业清洗机1-1,工业清洗机,E,E1,250.000,00:54:07,01:54:07,3600,C,425,0
16,工业清洗机1-3,工业清洗机,E,E1,250.000,00:54:07,01:54:07,3600,C,425,0
17,工业清洗机1-4,工业清洗机,E,E1,250.000,00:54:07,01:54:07,3600,C,425,0
18,工业清洗机1-5,工业清洗机,E,E1,250.000,00:54:07,01:54:07,3600,C,425,0
19,精密灌装机1-1,精密灌装机,C,C3-1,72.000,01:11:44,01:33:20,1296,C,0,0
20,精密灌装机1-2,精密灌装机,C,C3-1,72.000,01:11:44,01:33:20,1296,C,0,0
21,精密灌装机1-3,精密灌装机,C,C3-1,72.000,01:11:44,01:33:20,1296,C,0,0
22,精密灌装机1-4,精密灌装机,C,C3-1,72.000,01:11:44,01:33:20,1296,C,0,0
23,精密灌装机1-5,精密灌装机,C,C3-1,72.000,01:11:44,01:33:20,1296,C,0,0
24,自动化输送臂1-1,自动化输送臂,C,C3-1,90.000,01:11:44,01:33:20,1296,C,0,1482
25,自动化输送臂1-2,自动化输送臂,C,C3-1,90.000,01:11:44,01:33:20,1296,C,0,1482
26,自动化输送臂1-3,自动化输送臂,C,C3-1,90.000,01:11:44,01:33:20,1296,C,0,1482
27,自动化输送臂1-4,自动化输送臂,C,C3-1,90.000,01:11:44,01:33:20,1296,C,0,1482
28,工业清洗机1-2,工业清洗机,C,C4-1,400.000,01:33:20,05:33:20,14400,B,550,420
29,高速抛光机1-1,高速抛光机,C,C4-1,400.000,01:33:20,04:53:20,12000,班组1,230,5370
30,精密灌装机1-1,精密灌装机,A,A1,60.000,01:42:05,02:00:05,1080,C,525,0
31,精密灌装机1-2,精密灌装机,A,A1,60.000,01:42:05,02:00:05,1080,C,525,0
32,精密灌装机1-3,精密灌装机,A,A1,60.000,01:42:05,02:00:05,1080,C,525,0
33,精密灌装机1-4,精密灌装机,A,A1,60.000,01:42:05,02:00:05,1080,C,525,0
34,精密灌装机1-5,精密灌装机,A,A1,60.000,01:42:05,02:00:05,1080,C,525,0
35,自动化输送臂1-1,自动化输送臂,A,A1,75.000,01:42:05,02:00:05,1080,C,525,0
36,自动化输送臂1-2,自动化输送臂,A,A1,75.000,01:42:05,02:00:05,1080,C,525,0
37,自动化输送臂1-3,自动化输送臂,A,A1,75.000,01:42:05,02:00:05,1080,C,525,0
38,自动化输送臂1-4,自动化输送臂,A,A1,75.000,01:42:05,02:00:05,1080,C,525,0
39,工业清洗机1-1,工业清洗机,D,D1,150.000,02:02:42,02:38:42,2160,E,515,0
40,工业清洗机1-3,工业清洗机,D,D1,150.000,02:02:42,02:38:42,2160,E,515,0
41,工业清洗机1-4,工业清洗机,D,D1,150.000,02:02:42,02:38:42,2160,E,515,0
42,工业清洗机1-5,工业清洗机,D,D1,150.000,02:02:42,02:38:42,2160,E,515,0
43,精密灌装机1-1,精密灌装机,E,E2,120.000,02:11:45,02:32:20,1235,A,700,0
44,精密灌装机1-2,精密灌装机,E,E2,120.000,02:11:45,02:32:20,1235,A,700,0
45,精密灌装机1-3,精密灌装机,E,E2,120.000,02:11:45,02:32:20,1235,A,700,0
