序号,设备编号,起始时间,结束时间,持续工作时间(s),工序编号,班组
1,工业清洗机2-2,00:03:50,00:39:50,2160,B1,班组2
2,工业清洗机2-3,00:03:50,00:39:50,2160,B1,班组2
3,工业清洗机1-1,00:05:10,00:26:46,1296,C1,班组1
4,工业清洗机1-2,00:05:10,00:26:46,1296,C1,班组1
5,工业清洗机1-3,00:05:10,00:26:46,1296,C1,班组1
6,工业清洗机1-4,00:05:10,00:26:46,1296,C1,班组1
7,工业清洗机1-5,00:05:10,00:26:46,1296,C1,班组1
8,工业清洗机2-1,00:05:10,00:26:46,1296,C1,班组2
9,工业清洗机2-4,00:05:10,00:26:46,1296,C1,班组2
10,工业清洗机2-5,00:05:10,00:26:46,1296,C1,班组2
11,自动化输送臂1-1,00:05:10,00:26:46,1296,C1,班组1
12,自动化输送臂1-2,00:05:10,00:26:46,1296,C1,班组1
13,自动化输送臂1-3,00:05:10,00:26:46,1296,C1,班组1
14,自动化输送臂1-4,00:05:10,00:26:46,1296,C1,班组1
15,自动化输送臂2-1,00:05:10,00:26:46,1296,C1,班组2
16,自动化输送臂2-2,00:05:10,00:26:46,1296,C1,班组2
17,自动化输送臂2-3,00:05:10,00:26:46,1296,C1,班组2
18,自动化输送臂2-4,00:05:10,00:26:46,1296,C1,班组2
19,精密灌装机1-1,00:26:46,00:39:07,741,C2,班组1
20,精密灌装机1-2,00:26:46,00:39:07,741,C2,班组1
21,精密灌装机1-3,00:26:46,00:39:07,741,C2,班组1
22,精密灌装机1-4,00:26:46,00:39:07,741,C2,班组1
23,精密灌装机1-5,00:26:46,00:39:07,741,C2,班组1
24,精密灌装机2-1,00:26:46,00:39:07,741,C2,班组2
25,精密灌装机2-2,00:26:46,00:39:07,741,C2,班组2
26,精密灌装机2-3,00:26:46,00:39:07,741,C2,班组2
27,精密灌装机2-4,00:26:46,00:39:07,741,C2,班组2
28,精密灌装机2-5,00:26:46,00:39:07,741,C2,班组2
29,工业清洗机1-1,00:33:51,01:03:51,1800,E1,班组1
30,工业清洗机1-2,00:33:51,01:03:51,1800,E1,班组1
31,工业清洗机1-3,00:33:51,01:03:51,1800,E1,班组1
32,工业清洗机1-4,00:33:51,01:03:51,1800,E1,班组1
33,工业清洗机1-5,00:33:51,01:03:51,1800,E1,班组1
34,工业清洗机2-1,00:33:51,01:03:51,1800,E1,班组2
35,工业清洗机2-4,00:33:51,01:03:51,1800,E1,班组2
36,工业清洗机2-5,00:33:51,01:03:51,1800,E1,班组2
37,精密灌装机1-1,00:39:07,00:49:55,648,C3-1,班组1
38,精密灌装机1-2,00:39:07,00:49:55,648,C3-1,班组1
39,精密灌装机1-3,00:39:07,00:49:55,648,C3-1,班组1
40,精密灌装机1-4,00:39:07,00:49:55,648,C3-1,班组1
41,精密灌装机1-5,00:39:07,00:49:55,648,C3-1,班组1
42,精密灌装机2-1,00:39:07,00:49:55,648,C3-1,班组2
43,精密灌装机2-2,00:39:07,00:49:55,648,C3-1,班组2
44,精密灌装机2-3,00:39:07,00:49:55,648,C3-1,班组2
45,精密灌装机2-4,00:39:07,00:49:55,648,C3-1,班组2
