序号,设备编号,设备类型,班组,车间,工序编号,分配工程量,起始时间,结束时间,持续工作时间(s),运输起点,运输时间(s),等待时间(s)
1,工业清洗机2-2,工业清洗机,班组2,B,B1,60.000,00:03:50,00:39:50,2160,班组2,230,0
2,工业清洗机2-3,工业清洗机,班组2,B,B1,60.000,00:03:50,00:39:50,2160,班组2,230,0
3,工业清洗机1-1,工业清洗机,班组1,C,C1,90.000,00:05:10,00:26:46,1296,班组1,230,80
4,工业清洗机1-2,工业清洗机,班组1,C,C1,90.000,00:05:10,00:26:46,1296,班组1,230,80
5,工业清洗机1-3,工业清洗机,班组1,C,C1,90.000,00:05:10,00:26:46,1296,班组1,230,80
6,工业清洗机1-4,工业清洗机,班组1,C,C1,90.000,00:05:10,00:26:46,1296,班组1,230,80
7,工业清洗机1-5,工业清洗机,班组1,C,C1,90.000,00:05:10,00:26:46,1296,班组1,230,80
8,工业清洗机2-1,工业清洗机,班组2,C,C1,90.000,00:05:10,00:26:46,1296,班组2,310,0
9,工业清洗机2-4,工业清洗机,班组2,C,C1,90.000,00:05:10,00:26:46,1296,班组2,310,0
10,工业清洗机2-5,工业清洗机,班组2,C,C1,90.000,00:05:10,00:26:46,1296,班组2,310,0
11,自动化输送臂1-1,自动化输送臂,班组1,C,C1,90.000,00:05:10,00:26:46,1296,班组1,230,80
12,自动化输送臂1-2,自动化输送臂,班组1,C,C1,90.000,00:05:10,00:26:46,1296,班组1,230,80
13,自动化输送臂1-3,自动化输送臂,班组1,C,C1,90.000,00:05:10,00:26:46,1296,班组1,230,80
14,自动化输送臂1-4,自动化输送臂,班组1,C,C1,90.000,00:05:10,00:26:46,1296,班组1,230,80
15,自动化输送臂2-1,自动化输送臂,班组2,C,C1,90.000,00:05:10,00:26:46,1296,班组2,310,0
16,自动化输送臂2-2,自动化输送臂,班组2,C,C1,90.000,00:05:10,00:26:46,1296,班组2,310,0
17,自动化输送臂2-3,自动化输送臂,班组2,C,C1,90.000,00:05:10,00:26:46,1296,班组2,310,0
18,自动化输送臂2-4,自动化输送臂,班组2,C,C1,90.000,00:05:10,00:26:46,1296,班组2,310,0
19,精密灌装机1-1,精密灌装机,班组1,C,C2,72.000,00:26:46,00:39:07,741,班组1,230,1376
20,精密灌装机1-2,精密灌装机,班组1,C,C2,72.000,00:26:46,00:39:07,741,班组1,230,1376
21,精密灌装机1-3,精密灌装机,班组1,C,C2,72.000,00:26:46,00:39:07,741,班组1,230,1376
22,精密灌装机1-4,精密灌装机,班组1,C,C2,72.000,00:26:46,00:39:07,741,班组1,230,1376
23,精密灌装机1-5,精密灌装机,班组1,C,C2,72.000,00:26:46,00:39:07,741,班组1,230,1376
24,精密灌装机2-1,精密灌装机,班组2,C,C2,72.000,00:26:46,00:39:07,741,班组2,310,1296
25,精密灌装机2-2,精密灌装机,班组2,C,C2,72.000,00:26:46,00:39:07,741,班组2,310,1296
26,精密灌装机2-3,精密灌装机,班组2,C,C2,72.000,00:26:46,00:39:07,741,班组2,310,1296
27,精密灌装机2-4,精密灌装机,班组2,C,C2,72.000,00:26:46,00:39:07,741,班组2,310,1296
28,精密灌装机2-5,精密灌装机,班组2,C,C2,72.000,00:26:46,00:39:07,741,班组2,310,1296
29,工业清洗机1-1,工业清洗机,班组1,E,E1,125.000,00:33:51,01:03:51,1800,C,425,0
30,工业清洗机1-2,工业清洗机,班组1,E,E1,125.000,00:33:51,01:03:51,1800,C,425,0
31,工业清洗机1-3,工业清洗机,班组1,E,E1,125.000,00:33:51,01:03:51,1800,C,425,0
32,工业清洗机1-4,工业清洗机,班组1,E,E1,125.000,00:33:51,01:03:51,1800,C,425,0
33,工业清洗机1-5,工业清洗机,班组1,E,E1,125.000,00:33:51,01:03:51,1800,C,425,0
34,工业清洗机2-1,工业清洗机,班组2,E,E1,125.000,00:33:51,01:03:51,1800,C,425,0
35,工业清洗机2-4,工业清洗机,班组2,E,E1,125.000,00:33:51,01:03:51,1800,C,425,0
