车间,工序编号,工序开始,工序结束,工序持续时间(s)
A,A1,01:38:41,03:08:41,5400
A,A2,05:07:51,06:22:51,4500
A,A3,06:31:13,07:46:13,4500
B,B1,01:11:05,01:35:05,1440
B,B2,02:33:42,03:33:42,3600
B,B3,03:33:42,03:49:08,926
B,B4,04:16:43,07:52:43,12960
C,C1,00:05:10,00:26:46,1296
C,C2,00:26:46,00:38:00,674
C,C3-1,00:38:00,00:48:48,648
C,C4-1,00:48:48,01:36:48,2880
C,C5-1,02:37:28,03:57:28,4800
C,C3-2,03:58:18,04:09:06,648
C,C4-2,04:09:06,04:59:06,3000
C,C5-2,05:22:28,06:22:28,3600
C,C3-3,06:22:28,06:35:58,810
C,C4-3,06:35:58,07:35:58,3600
C,C5-3,08:01:53,08:49:53,2880
D,D1,00:28:42,00:57:30,1728
D,D2,00:57:30,01:24:10,1600
D,D3,01:24:10,01:31:11,421
D,D4,01:33:08,04:03:08,9000
D,D5,04:03:08,05:18:08,4500
D,D6,07:30:18,08:54:18,5040
E,E1,01:43:53,02:10:33,1600
E,E2,02:10:33,02:27:42,1029
E,E3,02:41:43,03:53:43,4320
