序号,设备编号,设备类型,设备来源,班组,车间,工序编号,分配工程量,起始时间,结束时间,持续工作时间(s),运输起点,运输时间(s),等待时间(s)
1,工业清洗机1-1,工业清洗机,原有,班组1,C,C1,80.000,00:05:10,00:24:22,1152,班组1,230,80
2,工业清洗机1-2,工业清洗机,原有,班组1,C,C1,80.000,00:05:10,00:24:22,1152,班组1,230,80
3,工业清洗机1-4,工业清洗机,原有,班组1,C,C1,80.000,00:05:10,00:24:22,1152,班组1,230,80
4,工业清洗机1-5,工业清洗机,原有,班组1,C,C1,80.000,00:05:10,00:24:22,1152,班组1,230,80
5,工业清洗机2-1,工业清洗机,原有,班组2,C,C1,80.000,00:05:10,00:24:22,1152,班组2,310,0
6,工业清洗机2-2,工业清洗机,原有,班组2,C,C1,80.000,00:05:10,00:24:22,1152,班组2,310,0
7,工业清洗机2-3,工业清洗机,原有,班组2,C,C1,80.000,00:05:10,00:24:22,1152,班组2,310,0
8,工业清洗机2-4,工业清洗机,原有,班组2,C,C1,80.000,00:05:10,00:24:22,1152,班组2,310,0
9,工业清洗机2-5,工业清洗机,原有,班组2,C,C1,80.000,00:05:10,00:24:22,1152,班组2,310,0
10,自动化输送臂1-1,自动化输送臂,原有,班组1,C,C1,90.000,00:05:10,00:26:46,1296,班组1,230,80
11,自动化输送臂1-2,自动化输送臂,原有,班组1,C,C1,90.000,00:05:10,00:26:46,1296,班组1,230,80
12,自动化输送臂1-3,自动化输送臂,原有,班组1,C,C1,90.000,00:05:10,00:26:46,1296,班组1,230,80
13,自动化输送臂1-4,自动化输送臂,原有,班组1,C,C1,90.000,00:05:10,00:26:46,1296,班组1,230,80
14,自动化输送臂2-1,自动化输送臂,原有,班组2,C,C1,90.000,00:05:10,00:26:46,1296,班组2,310,0
15,自动化输送臂2-2,自动化输送臂,原有,班组2,C,C1,90.000,00:05:10,00:26:46,1296,班组2,310,0
16,自动化输送臂2-3,自动化输送臂,原有,班组2,C,C1,90.000,00:05:10,00:26:46,1296,班组2,310,0
17,自动化输送臂2-4,自动化输送臂,原有,班组2,C,C1,90.000,00:05:10,00:26:46,1296,班组2,310,0
18,精密灌装机1-1,精密灌装机,原有,班组1,C,C2,65.455,00:26:46,00:38:00,674,班组1,230,1376
19,精密灌装机1-2,精密灌装机,原有,班组1,C,C2,65.455,00:26:46,00:38:00,674,班组1,230,1376
20,精密灌装机1-3,精密灌装机,原有,班组1,C,C2,65.455,00:26:46,00:38:00,674,班组1,230,1376
21,精密灌装机1-4,精密灌装机,原有,班组1,C,C2,65.455,00:26:46,00:38:00,674,班组1,230,1376
22,精密灌装机1-5,精密灌装机,原有,班组1,C,C2,65.455,00:26:46,00:38:00,674,班组1,230,1376
23,精密灌装机1-6,精密灌装机,购置,班组1,C,C2,65.455,00:26:46,00:38:00,674,班组1,230,1376
24,精密灌装机2-1,精密灌装机,原有,班组2,C,C2,65.455,00:26:46,00:38:00,674,班组2,310,1296
25,精密灌装机2-2,精密灌装机,原有,班组2,C,C2,65.455,00:26:46,00:38:00,674,班组2,310,1296
26,精密灌装机2-3,精密灌装机,原有,班组2,C,C2,65.455,00:26:46,00:38:00,674,班组2,310,1296
27,精密灌装机2-4,精密灌装机,原有,班组2,C,C2,65.455,00:26:46,00:38:00,674,班组2,310,1296
28,精密灌装机2-5,精密灌装机,原有,班组2,C,C2,65.455,00:26:46,00:38:00,674,班组2,310,1296
29,工业清洗机1-1,工业清洗机,原有,班组1,D,D1,120.000,00:28:42,00:57:30,1728,C,260,0
30,工业清洗机1-2,工业清洗机,原有,班组1,D,D1,120.000,00:28:42,00:57:30,1728,C,260,0
31,工业清洗机1-3,工业清洗机,原有,班组1,D,D1,120.000,00:28:42,00:57:30,1728,班组1,355,1367
32,工业清洗机1-4,工业清洗机,原有,班组1,D,D1,120.000,00:28:42,00:57:30,1728,C,260,0
33,工业清洗机1-5,工业清洗机,原有,班组1,D,D1,120.000,00:28:42,00:57:30,1728,C,260,0
34,精密灌装机1-1,精密灌装机,原有,班组1,C,C3-1,36.000,00:38:00,00:48:48,648,C,0,0
35,精密灌装机1-2,精密灌装机,原有,班组1,C,C3-1,36.000,00:38:00,00:48:48,648,C,0,0
36,精密灌装机1-3,精密灌装机,原有,班组1,C,C3-1,36.000,00:38:00,00:48:48,648,C,0,0
37,精密灌装机1-4,精密灌装机,原有,班组1,C,C3-1,36.000,00:38:00,00:48:48,648,C,0,0
38,精密灌装机1-5,精密灌装机,原有,班组1,C,C3-1,36.000,00:38:00,00:48:48,648,C,0,0
39,精密灌装机1-6,精密灌装机,购置,班组1,C,C3-1,36.000,00:38:00,00:48:48,648,C,0,0
40,精密灌装机2-2,精密灌装机,原有,班组2,C,C3-1,36.000,00:38:00,00:48:48,648,C,0,0
41,精密灌装机2-3,精密灌装机,原有,班组2,C,C3-1,36.000,00:38:00,00:48:48,648,C,0,0
42,精密灌装机2-4,精密灌装机,原有,班组2,C,C3-1,36.000,00:38:00,00:48:48,648,C,0,0
43,精密灌装机2-5,精密灌装机,原有,班组2,C,C3-1,36.000,00:38:00,00:48:48,648,C,0,0
44,自动化输送臂1-1,自动化输送臂,原有,班组1,C,C3-1,45.000,00:38:00,00:48:48,648,C,0,674
45,自动化输送臂1-2,自动化输送臂,原有,班组1,C,C3-1,45.000,00:38:00,00:48:48,648,C,0,674
46,自动化输送臂1-3,自动化输送臂,原有,班组1,C,C3-1,45.000,00:38:00,00:48:48,648,C,0,674
47,自动化输送臂1-4,自动化输送臂,原有,班组1,C,C3-1,45.000,00:38:00,00:48:48,648,C,0,674
48,自动化输送臂2-1,自动化输送臂,原有,班组2,C,C3-1,45.000,00:38:00,00:48:48,648,C,0,674
